Employer,Provider,Our_Recordkeeper,Our_Matched_Employer,Our_Confidence,Our_Match_Method,Our_Tool_Result,Providers_Agree,Compare_Note
Villas of holy brook,ADP,No match found,,none,,No match found for input: Villas of holy brook,False,our_no_match
Cvs,401k Generation,Vanguard,CVS HEALTH CORPORATION,High,word_boundary,"Recordkeeper: Vanguard | Matched employer: CVS HEALTH CORPORATION | Confidence: High (96%) | Match method: word_boundary | Plan: CVS HEALTH FUTURE FUND 401(K) PLAN | Participants: 307,068 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Fox Tires,Paychex,No match found,,none,,No match found for input: Fox Tires,False,our_no_match
King Tires,ADP,No match found,,none,,No match found for input: King Tires,False,our_no_match
Regency healthcare services,Na,Merrill Lynch,HEALTHCARE SERVICES INC.,High,fuzzy,"Recordkeeper: Merrill Lynch | Matched employer: HEALTHCARE SERVICES INC. | Confidence: High (95%) | Match method: fuzzy | Plan: HEALTHCARE SERVICES INC. 401(K) PROFIT SHARING PLAN AND TRUST | Participants: 233 | Plan year: 2024 | Reason: RapidFuzz WRatio scored 95, meeting the 92 threshold.",,their_blank
Enterprise Holdings,ADP,Voya,"BEST BUY ENTERPRISE SERVICES, INC.",High,word_boundary,"Recordkeeper: Voya | Matched employer: BEST BUY ENTERPRISE SERVICES, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: BEST BUY RETIREMENT SAVINGS PLAN | Participants: 111,163 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Eden Roc Management LLC,ADP,Empower Retirement,EDEN ROC MANAGEMENT LLC,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: EDEN ROC MANAGEMENT LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: EDEN ROC MANAGEMENT LLC 401(K) PLAN | Participants: 155 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
SAINT THOMAS UNIVERSITY,ADP,TIAA-CREF,THOMAS UNIVERSITY,High,fuzzy,"Recordkeeper: TIAA-CREF | Matched employer: THOMAS UNIVERSITY | Confidence: High (95%) | Match method: fuzzy | Plan: THOMAS UNIVERSITY, INC. RETIREMENT PLAN | Participants: 316 | Plan year: 2022 | Reason: Listed on Schedule C Part 1 (eligible service providers on the filing). For some large plans the recordkeeper is also named in the Notes to Financial Statements attached to Schedule H (not available in DOL CSV extracts). This is separate from the Schedule C Part 1 Item 2 compensation table with service codes 15/64. Provider on filing: TIAA-CREF.",False,mismatch
Cargo transport,Not sure,No match found,,none,,No match found for input: Cargo transport,,their_blank
Us logistics,Not sure,Empower Retirement,"THE LOGISTICS COMPANY, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: THE LOGISTICS COMPANY, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: THE LOGISTICS COMPANY, INC. EMPLOYEE 401(K) SAVINGS PLAN | Participants: 983 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",,their_blank
Ownesandminor,Fidelity,No match found,,none,,No match found for input: Ownesandminor,False,our_no_match
Safelite,Vanguard,Vanguard,"SAFELITE GROUP, INC.",High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: SAFELITE GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: SAFELITE GROUP ASSOCIATES' RETIREMENT SAVINGS PLAN | Participants: 24,465 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
aequor,JP Morgan Chase,ADP,"AEQUOR TECHNOLOGIES, LLC",High,word_boundary,"Recordkeeper: ADP | Matched employer: AEQUOR TECHNOLOGIES, LLC | Confidence: High (96%) | Match method: word_boundary | Plan: AEQUOR 401(K) PLAN | Participants: 1,053 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Yamaha precision propeller,Principal,No match found,,none,,No match found for input: Yamaha precision propeller,False,our_no_match
Michaels,Vanguard,"PASI, LLC","MICHAELS, INC.",High,exact_normalized,"Recordkeeper: PASI, LLC | Matched employer: MICHAELS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MICHAELS, INC. 401(K) PLAN | Participants: 103 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Wendys,Wendys,Transamerica,"WENDYS OF BOWLING GREEN, INC.",High,word_boundary,"Recordkeeper: Transamerica | Matched employer: WENDYS OF BOWLING GREEN, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: WENDY'S EMPLOYEE INVESTMENT PLAN | Participants: 1,672 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Anchor staffing,Anchor staffing,No match found,,none,,No match found for input: Anchor staffing,False,our_no_match
Southern tier logistics,ADP,No match found,,none,,No match found for input: Southern tier logistics,False,our_no_match
Family dollar,Betterment,No match found,,none,,No match found for input: Family dollar,False,our_no_match
Woodforest National Bank,Prudential,No match found,,none,,No match found for input: Woodforest National Bank,False,our_no_match
Approved,ADP,HUMAN INTEREST ADVISOR LLC,"APPROVED TRANSPORTATION AND WAREHOUSING,LTD",High,word_boundary,"Recordkeeper: HUMAN INTEREST ADVISOR LLC | Matched employer: APPROVED TRANSPORTATION AND WAREHOUSING,LTD | Confidence: High (96%) | Match method: word_boundary | Plan: THE DEWITT COMPANIES 401(K) PLAN | Participants: 639 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Temco,Paycom,Empower Retirement,"TEMCO, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: TEMCO, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: TESDELL ELECTRIC, LTD 401(K) PLAN | Participants: 120 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
24-7 intouch,ADP,VESTWELL,ASCENDA USA INC DBA 24-7 INTOUCH,High,word_boundary,Recordkeeper: VESTWELL | Matched employer: ASCENDA USA INC DBA 24-7 INTOUCH | Confidence: High (96%) | Match method: word_boundary | Plan: ASCENDA USA 401(K) PLAN | Participants: 487 | Plan year: 2022 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.,False,mismatch
Material In Motion,Navy Federal Credit Union,MORGAN STANLEY SMITH BARNEY,MATERIAL IN MOTION,High,exact_normalized,Recordkeeper: MORGAN STANLEY SMITH BARNEY | Matched employer: MATERIAL IN MOTION | Confidence: High (100%) | Match method: exact_normalized | Plan: MATERIAL IN MOTION 401(K) PLAN | Participants: 247 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
Wayne wire,Standard,STANCORP FINANCIAL GROUP,"WAYNE WIRE CLOTH PRODUCTS, INC.",High,word_boundary,"Recordkeeper: STANCORP FINANCIAL GROUP | Matched employer: WAYNE WIRE CLOTH PRODUCTS, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: WAYNE WIRE CLOTH PRODUCTS INC. EMPLOYEE 401(K) RETIREMENT PLAN | Participants: 212 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Georgia National Guard,Fidelity,No match found,,none,,No match found for input: Georgia National Guard,False,our_no_match
JThree,American Funds,No match found,,none,,No match found for input: JThree,False,our_no_match
Walmart,Merrill Lynch,Merrill Lynch,WALMART INC.,High,exact_normalized,"Recordkeeper: Merrill Lynch | Matched employer: WALMART INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: WALMART 401(K) PLAN | Participants: 1,921,006 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
Desco,401k Generation,ADP,DESCO CORPORATION,High,exact_normalized,"Recordkeeper: ADP | Matched employer: DESCO CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: DESCO CORPORATION THRIFT PLAN & TRUST | Participants: 1,000 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Corner Housewares,Betterment,No match found,,none,,No match found for input: Corner Housewares,False,our_no_match
Breakthru,Regions,Fidelity Investments,"BREAKTHRU BEVERAGE GROUP, LLC",High,word_boundary,"Recordkeeper: Fidelity Investments | Matched employer: BREAKTHRU BEVERAGE GROUP, LLC | Confidence: High (96%) | Match method: word_boundary | Plan: BREAKTHRU BEVERAGE GROUP 40 L(K) PLAN | Participants: 7,635 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Moen,Wells Fargo,No match found,,none,,No match found for input: Moen,False,our_no_match
Pediatrics plus,401k Generation,Paychex,PEDIATRICS PLUS THERAPY SERVIC,High,word_boundary,Recordkeeper: Paychex | Matched employer: PEDIATRICS PLUS THERAPY SERVIC | Confidence: High (96%) | Match method: word_boundary | Plan: PEDIATRICS PLUS THERAPY SERVIC 401(K) PROFIT SHARING PLAN & TRUST | Participants: 954 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.,False,mismatch
Areas usa,ADP,ADP,"AREAS USA, INC.",High,exact_normalized,"Recordkeeper: ADP | Matched employer: AREAS USA, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: AREAS USA, INC. 401(K) PROFIT SHARING PLAN AND TRUST | Participants: 2,244 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
Moen,ADP,No match found,,none,,No match found for input: Moen,False,our_no_match
Hortica insurance,Fidelity,No match found,,none,,No match found for input: Hortica insurance,False,our_no_match
Northside Hospital,Principal,Principal,"NORTHSIDE HOSPITAL, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: NORTHSIDE HOSPITAL, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: NORTHSIDE HOSPITAL 403(B) RETIREMENT PLAN | Participants: 39,283 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
Hortica Insurance,Charles Schwab (TD Ameritrade),No match found,,none,,No match found for input: Hortica Insurance,False,our_no_match
Hortica insurance,Voya,No match found,,none,,No match found for input: Hortica insurance,False,our_no_match
Coweta county jail,Vanguard,No match found,,none,,No match found for input: Coweta county jail,False,our_no_match
thred up,401k Generation,Fidelity Investments,THREDUP INC.,High,spacing_insensitive,"Recordkeeper: Fidelity Investments | Matched employer: THREDUP INC. | Confidence: High (93%) | Match method: spacing_insensitive | Plan: THREDUP 401(K) PLAN | Participants: 1,901 | Plan year: 2024 | Reason: The normalized input matched after removing spaces from both names.",False,mismatch
Community behavior health,Wells Fargo,Empower Retirement,COMMUNITY BEHAVIORAL HEALTH,High,fuzzy,"Recordkeeper: Empower Retirement | Matched employer: COMMUNITY BEHAVIORAL HEALTH | Confidence: High (96%) | Match method: fuzzy | Plan: COMMUNITY BEHAVIORAL HEALTH 403(B) PLAN | Participants: 836 | Plan year: 2024 | Reason: RapidFuzz WRatio scored 96, meeting the 92 threshold.",False,mismatch
Community behavioral health,America's Best,Empower Retirement,COMMUNITY BEHAVIORAL HEALTH,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: COMMUNITY BEHAVIORAL HEALTH | Confidence: High (100%) | Match method: exact_normalized | Plan: COMMUNITY BEHAVIORAL HEALTH 403(B) PLAN | Participants: 836 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
The cedar bus co,Betterment,No match found,,none,,No match found for input: The cedar bus co,False,our_no_match
Pediatric associate,American Funds,Empower Retirement,PEDIATRIC ASSOCIATES HOLDING COMPANY,High,spacing_insensitive,"Recordkeeper: Empower Retirement | Matched employer: PEDIATRIC ASSOCIATES HOLDING COMPANY | Confidence: High (93%) | Match method: spacing_insensitive | Plan: PEDIATRIC ASSOCIATES EMPLOYEE SAVINGS & RETIREMENT PLAN | Participants: 3,560 | Plan year: 2024 | Reason: The normalized input matched after removing spaces from both names.",False,mismatch
Aspen Dental,T Rowe Price,T. Rowe Price,"ASPEN DENTAL MANAGEMENT, INC.",High,word_boundary,"Recordkeeper: T. Rowe Price | Matched employer: ASPEN DENTAL MANAGEMENT, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: ASPEN DENTAL 401(K) PLAN | Participants: 17,822 | Plan year: 2022 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",True,equivalent
Pizza Ranch,Betterment,Ascensus,"PIZZA RANCH, INC.",High,exact_normalized,"Recordkeeper: Ascensus | Matched employer: PIZZA RANCH, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: PIZZA RANCH, INC. 401(K) PLAN | Participants: 345 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Oak park country club,ADP,No match found,,none,,No match found for input: Oak park country club,False,our_no_match
Hmf,401k Generation,CAPITAL GROUP RETIREMENT PLAN,HICKEY METAL FABRICATION & ROOFING CO.,High,plan_word_boundary,Recordkeeper: CAPITAL GROUP RETIREMENT PLAN | Matched employer: HICKEY METAL FABRICATION & ROOFING CO. | Confidence: High (94%) | Match method: plan_word_boundary | Plan: HMF 401K RETIREMENT PLAN | Participants: 199 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL plan name.,False,mismatch
Allied universal,Lincoln Financial,Empower Retirement,ALLIED UNIVERSAL CORPORATION,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: ALLIED UNIVERSAL CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: ALLIED UNIVERSAL CORPORATION 401(K) RETIREMENT PLAN | Participants: 373 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
Cava,"CAVA GROUP,INC.401 PLAN",ADP,"CAVA GROUP, INC.",High,exact_normalized,"Recordkeeper: ADP | Matched employer: CAVA GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: CAVA GROUP, INC. 401(K) PLAN | Participants: 2,668 | Plan year: 2020 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Cava,"CAVA GROUP,INC.401K PLAN",ADP,"CAVA GROUP, INC.",High,exact_normalized,"Recordkeeper: ADP | Matched employer: CAVA GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: CAVA GROUP, INC. 401(K) PLAN | Participants: 2,668 | Plan year: 2020 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
STAline,T Rowe Price,Fidelity Investments,STARLINE USA INC.,High,fuzzy,"Recordkeeper: Fidelity Investments | Matched employer: STARLINE USA INC. | Confidence: High (93%) | Match method: fuzzy | Plan: STARLINE USA INC. 401(K) PROFIT SHARING PLAN AND TRUST | Participants: 149 | Plan year: 2024 | Reason: RapidFuzz WRatio scored 93, meeting the 92 threshold.",False,mismatch
Dexter,401k Generation,Charles Schwab,DEXTER AXLE COMPANY,High,word_boundary,"Recordkeeper: Charles Schwab | Matched employer: DEXTER AXLE COMPANY | Confidence: High (96%) | Match method: word_boundary | Plan: DEXTER 401(K) RETIREMENT SAVINGS PLAN | Participants: 3,792 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Heidtman,401k Generation,Principal,HEIDTMAN STEEL PRODUCTS,High,word_boundary,"Recordkeeper: Principal | Matched employer: HEIDTMAN STEEL PRODUCTS | Confidence: High (96%) | Match method: word_boundary | Plan: HEIDTMAN STEEL RETIREMENT SAVINGS 401(K) PLAN | Participants: 1,192 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Sailfish point,Empower,No match found,,none,,No match found for input: Sailfish point,False,our_no_match
Cornerstone building brands,Voya,Fidelity Investments,"CORNERSTONE BUILDING BRANDS, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: CORNERSTONE BUILDING BRANDS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: CORNERSTONE BUILDING BRANDS 401(K) PROFIT SHARING PLAN | Participants: 16,713 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Sovena,401k Generation,Fidelity Investments,"SOVENA USA, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: SOVENA USA, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: SOVENA USA 401(K) & PROFIT SHARING PLAN | Participants: 204 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
The Oak Stave,Chime,No match found,,none,,No match found for input: The Oak Stave,False,our_no_match
Top warehouse,Chime,No match found,,none,,No match found for input: Top warehouse,False,our_no_match
West liberty food,Wells Fargo,Principal,"WEST LIBERTY FOODS, L.L.C.",High,spacing_insensitive,"Recordkeeper: Principal | Matched employer: WEST LIBERTY FOODS, L.L.C. | Confidence: High (93%) | Match method: spacing_insensitive | Plan: WEST LIBERTY FOODS, L.L.C. EMPLOYEE SAVINGS PLAN | Participants: 2,338 | Plan year: 2024 | Reason: The normalized input matched after removing spaces from both names.",False,mismatch
Cumberland county schools,MetLife,No match found,,none,,No match found for input: Cumberland county schools,False,our_no_match
Nivel parts & manufacturing,Newport Group,Empower Retirement,"NIVEL PARTS & MANUFACTURING CO., LLC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: NIVEL PARTS & MANUFACTURING CO., LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: NIVEL PARTS 401(K) PLAN | Participants: 588 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Express employment,Expresss employment specialist,"BOKF, NA","EXPRESS SERVICES, INC.",High,plan_word_boundary,"Recordkeeper: BOKF, NA | Matched employer: EXPRESS SERVICES, INC. | Confidence: High (94%) | Match method: plan_word_boundary | Plan: EXPRESS EMPLOYMENT PROFESSIONALS 401(K) RETIREMENT SAVINGS PLAN | Participants: 464,345 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL plan name.",False,mismatch
Heritage health,ADP,Empower Retirement,HERITAGE HEALTH,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: HERITAGE HEALTH | Confidence: High (100%) | Match method: exact_normalized | Plan: HERITAGE HEALTH 403(B) PLAN | Participants: 473 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
INOVA Fairfax,MetLife,No match found,,none,,No match found for input: INOVA Fairfax,False,our_no_match
Sequel,Empower,CAPITAL GROUP RETIREMENT PLAN SVCS.,"SEQUEL ELECTRICAL SUPPLY, LLC",High,word_boundary,"Recordkeeper: CAPITAL GROUP RETIREMENT PLAN SVCS. | Matched employer: SEQUEL ELECTRICAL SUPPLY, LLC | Confidence: High (96%) | Match method: word_boundary | Plan: SEQUEL ELECTRICAL SUPPLY, LLC 401(K) PLAN | Participants: 243 | Plan year: 2023 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Rivian automotive,401k Generation,Vanguard,"RIVIAN AUTOMOTIVE, LLC",High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: RIVIAN AUTOMOTIVE, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: RIVIAN AUTOMOTIVE LLC 401(K) PLAN | Participants: 1,313 | Plan year: 2020 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Independence Charter School West,Vanguard,No match found,,none,,No match found for input: Independence Charter School West,False,our_no_match
Luis e ramirez,Home Depot,No match found,,none,,No match found for input: Luis e ramirez,False,our_no_match
ALDIs,JP Morgan Chase,No match found,,none,,No match found for input: ALDIs,False,our_no_match
Deployed services,ADP,Transamerica,"DEPLOYED SERVICES, LLC",High,exact_normalized,"Recordkeeper: Transamerica | Matched employer: DEPLOYED SERVICES, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: DEPLOYED SERVICES, LLC 401(K) PLAN | Participants: 7,025 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
K2 solutions,ADP,SWERDLIN & COMPANY,K2 SOLUTIONS INC.,High,exact_normalized,"Recordkeeper: SWERDLIN & COMPANY | Matched employer: K2 SOLUTIONS INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: K2 SOLUTIONS, INC. EMPLOYEE STOCK OWNERSHIP AND 401(K) PLAN | Participants: 269 | Plan year: 2020 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Autozone,ADP,Fidelity Investments,"AUTOZONE, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: AUTOZONE, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: AUTOZONE, INC. 401(K) PLAN | Participants: 25,858 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Wipro,ADP,Alight Solutions,WIPRO LIMITED,High,exact_normalized,"Recordkeeper: Alight Solutions | Matched employer: WIPRO LIMITED | Confidence: High (100%) | Match method: exact_normalized | Plan: WIPRO LIMITED 401(K) PLAN | Participants: 17,225 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Harte hanks,ADP,Merrill Lynch,"HARTE-HANKS, INC.",High,exact_normalized,"Recordkeeper: Merrill Lynch | Matched employer: HARTE-HANKS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: HARTE HANKS INVESTMENT PLUS | Participants: 1,688 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
National grid,Vanguard,Vanguard,"NATIONAL GRID USA SERVICE COMPANY, INC.",High,word_boundary,"Recordkeeper: Vanguard | Matched employer: NATIONAL GRID USA SERVICE COMPANY, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: NATIONAL GRID USA CO. INCENTIVE THRIFT PLAN | Participants: 24,129 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",True,equivalent
Dupont,Dupont,Merrill Lynch,"DUPONT DE NEMOURS, INC.",High,word_boundary,"Recordkeeper: Merrill Lynch | Matched employer: DUPONT DE NEMOURS, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: DUPONT RETIREMENT SAVINGS PLAN | Participants: 13,884 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Modivcare,Fidelity,ADP,"MODIVCARE SOLUTIONS, LLC",High,word_boundary,"Recordkeeper: ADP | Matched employer: MODIVCARE SOLUTIONS, LLC | Confidence: High (96%) | Match method: word_boundary | Plan: MODIVCARE SOLUTIONS, LLC RETIREMENT PLAN | Participants: 5,370 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Sedgwick,Sedgwick,Merrill Lynch,"SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.",High,word_boundary,"Recordkeeper: Merrill Lynch | Matched employer: SEDGWICK CLAIMS MANAGEMENT SERVICES, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: SEDGWICK 401(K) SAVINGS PLAN | Participants: 32,033 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Aabr,401k Generation,"PROFESSIONAL CAPITAL SERVICES, LLC","AABR, INC.",High,exact_normalized,"Recordkeeper: PROFESSIONAL CAPITAL SERVICES, LLC | Matched employer: AABR, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: AABR, INC. 403(B) THRIFT PLAN | Participants: 650 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Tru sheet metal,Tru sheet,No match found,,none,,No match found for input: Tru sheet metal,False,our_no_match
Loves Travel stop/hardees,ADP,No match found,,none,,No match found for input: Loves Travel stop/hardees,False,our_no_match
dollar tree,401k Generation,Empower Retirement,"DOLLAR TREE, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: DOLLAR TREE, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: DOLLAR TREE RETIREMENT SAVINGS PLAN | Participants: 83,276 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
